(NULL,'...Ready For It?','9/4/2017','Taylor Swift','United States','425552642'),
(NULL,'...Ready For It?','9/5/2017','Taylor Swift','Brazil','425552642'),
(NULL,'Cocaina','8/7/2017','Captian Cuts','United States','4019590'),
(NULL,'Bayrischer Biertechno','9/5/2017','Jonny3000','Germany','5449853'),
(NULL,'Na Pele','8/8/2017','Elza Soares e Pitty','Brazil','2758193'),
(NULL,'Knacheltief','8/8/2017','Trettman','Germany','94796238'),
(NULL,'Tu Conmigo','8/8/2017','Vitalic','Italy','11014828'),
(NULL,'Un Temporale','9/5/2017','Ghemon','Italy','9473385'),
(NULL,'Look What You Made Me Do','9/5/2017','Taylor Swift','Mexico','787257635'),
(NULL,'La Inmensidad','9/5/2017','La Maravillosa Orquesta del Alcohol','Spain','12261042'),
(NULL,'...Ready For It?','9/5/2017','Taylor Swift','United States','425552642'),
(NULL,'OMG','8/8/2017','Camila Cabello','Mexico','207730193'),
(NULL,'Sa da Tu','9/6/2017','Banda A Favorita','Brazil','530159'),
(NULL,'Havana','8/8/2017','Camila Cabello','Spain','1823089316'),
(NULL,'Cocaina','8/8/2017','Captian Cuts','United States','4019590'),
(NULL,'Na Pele','8/9/2017','Elza Soares e Pitty','Brazil','2758193'),
(NULL,'Bayrischer Biertechno','9/6/2017','Jonny3000','Germany','5449853'),
(NULL,'Un Temporale','9/6/2017','Ghemon','Italy','9473385'),
(NULL,'...Ready For It?','9/6/2017','Taylor Swift','Japan','425552642'),
(NULL,'Mas de ta','9/6/2017','SBM','Mexico','4684919'),
(NULL,'Bargeld','8/9/2017','Veysel','Germany','29304927'),
(NULL,'La Inmensidad','9/6/2017','La Maravillosa Orquesta del Alcohol','Spain','12261042'),
(NULL,'Tu Conmigo','8/9/2017','Vitalic','Italy','11014828'),
(NULL,'Ven a Mi','8/9/2017','BrunOG','Mexico','3009033'),
(NULL,'Havana','8/9/2017','Camila Cabello','Spain','1823089316'),
(NULL,'Cocaina','8/9/2017','Captain Cuts','United States','4019590'),
(NULL,'Sa da Tu','9/7/2017','Banda A Favorita','Brazil','530159'),
(NULL,'Na Pele','8/10/2017','Elza Soares e Pitty','Brazil','2758193'),
(NULL,'Bayrischer Biertechno','9/7/2017','Jonny3000','Germany','5449853'),
(NULL,'...Ready For It?','9/6/2017','Taylor Swift','United States','425552642'),
(NULL,'Saufen Morgens','8/10/2017','Ingo ohne Flamingo','Germany','53342507'),
(NULL,'Un Temporale','9/7/2017','Ghemon','Italy','9473385'),
(NULL,'...Ready For It?','9/7/2017','Taylor Swift','Japan','425552642'),
(NULL,'Mas de ta','9/7/2017','SBM','Mexico','4684919'),
(NULL,'La Inmensidad','9/7/2017','La Maravillosa Orquesta del Alcohol','Spain','12261042'),
(NULL,'...Ready For It?','9/7/2017','Taylor Swift','United States','425552642'),
(NULL,'Sa da Tu','9/8/2017','Banda A Favorita','Brazil','530159'),
(NULL,'Tu Conmigo','8/10/2017','Vitalic','Italy','11014828'),
(NULL,'Bayrischer Biertechno','9/8/2017','Jonny3000','Germany','5449853'),
(NULL,'Ven a Mi','8/10/2017','BrunOG','Mexico','3009033'),
(NULL,'Havana','8/10/2017','Camila Cabello','Spain','1823089316'),
(NULL,'Cocaina','8/10/2017','Captian Cuts','United States','4019590'),
(NULL,'Un Temporale','9/8/2017','Ghemon','Italy','9473385'),
(NULL,'...Ready For It?','9/8/2017','Taylor Swift','Japan','425552642'),
(NULL,'Mas de ta','9/8/2017','SBM','Mexico','4684919'),
(NULL,'...Ready For It?','9/8/2017','Taylor Swift','Spain','425552642'),
(NULL,'...Ready For It?','9/8/2017','Taylor Swift','United States','425552642'),
(NULL,'Na Pele','8/11/2017','Elza Soares e Pitty','Brazil','2758193'),
(NULL,'Sa da Tu','9/9/2017','Banda A Favorita','Brazil','530159'),
(NULL,'Saufen Morgens','8/11/2017','Ingo ohne Flamingo','Germany','53342507'),
